lastUpdated,title,url
" This page was last edited on 21 January 2021, at 23:28",Wikipedia:Protection policy,https://en.wikipedia.org/wiki/Wikipedia:Protection_policy
" This page was last edited on 19 January 2021, at 06:03",Primetime Emmy Award,https://en.wikipedia.org/wiki/Primetime_Emmy_Award
" This page was last edited on 25 January 2021, at 18:03",Screen Actors Guild Awards,https://en.wikipedia.org/wiki/Screen_Actors_Guild_Award
" This page was last edited on 21 December 2020, at 21:18",Hollywood Walk of Fame,https://en.wikipedia.org/wiki/Hollywood_Walk_of_Fame
" This page was last edited on 14 January 2021, at 17:54", (TV series),https://en.wikipedia.org/wiki/I_Love_Dick_(TV_series)
" This page was last edited on 25 January 2021, at 15:40",Golden Globe Awards,https://en.wikipedia.org/wiki/Golden_Globe_Award
" This page was last edited on 26 December 2020, at 21:28",Six Degrees of Kevin Bacon,https://en.wikipedia.org/wiki/Six_Degrees_of_Kevin_Bacon
" This page was last edited on 12 January 2021, at 08:49",Golden Globe Award for Best Actor – Television Series Musical or Comedy,https://en.wikipedia.org/wiki/Golden_Globe_Award_for_Best_Actor_%E2%80%93_Television_Series_Musical_or_Comedy
" This page was last edited on 25 January 2021, at 20:44",Academy Awards,https://en.wikipedia.org/wiki/Academy_Award
" This page was last edited on 23 January 2021, at 16:46",Social networking service,https://en.wikipedia.org/wiki/Social_networking_service
" This page was last edited on 22 January 2021, at 01:48",[<Selector xpath='//h1/i/text()' data='The Guardian'>],https://en.wikipedia.org/wiki/The_Guardian
" This page was last edited on 29 December 2020, at 20:37",[<Selector xpath='//h1/i/text()' data='Taking Chance'>],https://en.wikipedia.org/wiki/Taking_Chance
" This page was last edited on 24 January 2021, at 08:26",[<Selector xpath='//h1/i/text()' data='The Following'>],https://en.wikipedia.org/wiki/The_Following
" This page was last edited on 22 January 2021, at 04:22", (film),https://en.wikipedia.org/wiki/Patriots_Day_(film)
" This page was last edited on 9 January 2021, at 08:36",Ellen Barkin,https://en.wikipedia.org/wiki/Ellen_Barkin
" This page was last edited on 10 January 2021, at 06:32",Seattle International Film Festival,https://en.wikipedia.org/wiki/Seattle_International_Film_Festival
" This page was last edited on 22 January 2021, at 21:11",Fox Broadcasting Company,https://en.wikipedia.org/wiki/Fox_Broadcasting_Company
" This page was last edited on 24 January 2021, at 08:19",[<Selector xpath='//h1/i/text()' data='Access Hollywood'>],https://en.wikipedia.org/wiki/Access_Hollywood
" This page was last edited on 18 January 2021, at 01:32",HBO,https://en.wikipedia.org/wiki/HBO
